['function', 'address', 'id']
['PatchPreviewStatusInit', '00000000101180E0', '279']
['PatchProductRequestClear', '0000000010118100', '280']
['PatchProductRequestInit', '00000000100F3710', '281']
['PatchProductStateClear', '0000000010118120', '282']
['PatchProductStateInit', '00000000100F4730', '283']
['PatchProgressClear', '0000000010118150', '284']
['PatchProgressInit', '00000000100F36C0', '285']
['PatchRepairProgressClear', '00000000100F4AA0', '286']
['PatchRepairProgressInit', '00000000100F4AA0', '287']
['PatchRepairRequestClear', '00000000101181C0', '288']
['PatchRepairRequestInit', '0000000010118200', '289']
['PatchRepairStatusClear', '0000000010118220', '290']
['PatchRepairStatusInit', '0000000010117FF0', '291']
['PatchRequestStatusClear', '00000000100F36E0', '292']
['PatchRequestStatusInit', '00000000100F3710', '293']
['PatchRequestsClear', '0000000010118270', '294']
['PatchRequestsInit', '00000000100F46D0', '295']
['PatchSeedRequestClear', '0000000010118340', '296']
['PatchSeedRequestInit', '00000000101183A0', '297']
['PatchSeedStatusClear', '0000000010117FA0', '298']
['PatchSeedStatusInit', '00000000101183C0', '299']
['PatchStartFullRepairRequestClear', '00000000101183F0', '300']
['PatchStartFullRepairRequestInit', '00000000100F4020', '301']
['PatchStartPartialRepairRequestClear', '0000000010118420', '302']
['PatchStartPartialRepairRequestInit', '00000000100F45D0', '303']
['PatchStartPatchingOrSeedingRequestClear', '0000000010118450', '304']
['PatchStartPatchingOrSeedingRequestInit', '00000000100F46D0', '305']
['PatchStartPreviewRequestClear', '0000000010118490', '306']
['PatchStartPreviewRequestInit', '00000000101184D0', '307']
['PatchStatusClear', '00000000101184F0', '308']
['PatchStatusInit', '00000000100F46D0', '309']
['PatchUpdateProgressClear', '00000000101185A0', '310']
['PatchUpdateProgressInit', '00000000101185A0', '311']
['PatchV2ConfigurationClear', '00000000101185C0', '312']
['PatchV2ConfigurationInit', '00000000101183A0', '313']
['PayMobileProductClear', '0000000010118680', '314']
['PayMobileProductInit', '00000000100F4AA0', '315']
['PayMobileProductKVArrayClear', '00000000101186C0', '316']
['PayMobileProductKVArrayInit', '00000000100F3CC0', '317']
['PayMobileProductListResultClear', '0000000010118760', '318']
['PayMobileProductListResultInit', '00000000100F4730', '319']
['PayMobilePurchaseResultClear', '0000000010118790', '320']
['PayMobilePurchaseResultInit', '00000000100F36C0', '321']
['PaymentsInitializedPurchaseClear', '00000000100F3720', '322']
['PaymentsInitializedPurchaseInit', '00000000100F3740', '323']
['PlayerAccountAliasesV1AliasArrayClear', '00000000101436C0', '324']
['PlayerAccountAliasesV1AliasArrayInit', '00000000100F3CC0', '325']
['PlayerAccountAliasesV1AliasClear', '0000000010143730', '326']
['PlayerAccountAliasesV1AliasInit', '0000000010143760', '327']
['PlayerAccountAliasesV1AliasInputClear', '00000000100F36E0', '328']
['PlayerAccountAliasesV1AliasInputInit', '00000000100F3710', '329']
['PlayerAccountAliasesV1AliasListClear', '0000000010143780', '330']
['PlayerAccountAliasesV1AliasListInit', '00000000100F3710', '331']
['PlayerAccountAliasesV1RequiredResponseClear', '00000000100F5110', '332']
['PlayerAccountAliasesV1RequiredResponseInit', '00000000100F5110', '333']
['PlayerAccountAliasesV1StatusResponseClear', '00000000101437A0', '334']
['PlayerAccountAliasesV1StatusResponseInit', '0000000010143800', '335']
['PlayerAccountEligibilityResponseClear', '0000000010143830', '336']
['PlayerAccountEligibilityResponseInit', '0000000010143860', '337']
['PlayerAccountGenerateTaglineInputClear', '00000000100F3720', '338']
['PlayerAccountGenerateTaglineInputInit', '00000000100F3740', '339']
['PlayerAccountGenerateTaglineResponseClear', '0000000010143890', '340']
['PlayerAccountGenerateTaglineResponseInit', '00000000101438D0', '341']
['PlayerAccountPlayerAccountPluginConfigClear', '0000000010143900', '342']
['PlayerAccountPlayerAccountPluginConfigInit', '00000000100F46D0', '343']
